,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,other_parties,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,foreign_worker,class
1,0<=X<200,18.0,existing paid,radio/tv,1301.0,<100,>=7,4.0,guarantor,real estate,32.0,none,own,1.0,unskilled resident,1.0,yes,good
2,>=200,6.0,critical/other existing credit,new car,1323.0,100<=X<500,>=7,2.0,none,car,28.0,none,own,2.0,skilled,2.0,yes,good
3,<0,24.0,existing paid,new car,3123.0,<100,<1,4.0,none,life insurance,27.0,none,own,1.0,skilled,1.0,yes,bad
4,<0,36.0,existing paid,used car,5493.0,<100,>=7,2.0,none,no known property,42.0,none,for free,1.0,skilled,2.0,yes,good
5,>=200,9.0,existing paid,radio/tv,1126.0,100<=X<500,>=7,2.0,none,real estate,49.0,none,own,1.0,skilled,1.0,yes,good
6,0<=X<200,24.0,critical/other existing credit,radio/tv,1216.0,100<=X<500,<1,4.0,none,no known property,38.0,bank,own,2.0,skilled,2.0,yes,bad
7,<0,24.0,existing paid,new car,1207.0,<100,<1,4.0,none,life insurance,24.0,none,rent,1.0,skilled,1.0,yes,bad
8,no checking,10.0,existing paid,new car,1309.0,no known savings,1<=X<4,4.0,guarantor,life insurance,27.0,none,own,1.0,unskilled resident,1.0,yes,bad
9,>=200,15.0,critical/other existing credit,used car,2360.0,500<=X<1000,1<=X<4,2.0,none,car,36.0,none,own,1.0,skilled,1.0,yes,good
10,0<=X<200,15.0,all paid,new car,6850.0,100<=X<500,unemployed,1.0,none,life insurance,34.0,none,own,1.0,high qualif/self emp/mgmt,2.0,yes,bad
11,no checking,24.0,existing paid,radio/tv,1413.0,<100,1<=X<4,4.0,none,life insurance,28.0,none,own,1.0,skilled,1.0,yes,good
12,no checking,39.0,existing paid,used car,8588.0,100<=X<500,>=7,4.0,none,car,45.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
13,<0,12.0,existing paid,new car,759.0,<100,4<=X<7,4.0,none,real estate,26.0,none,own,1.0,skilled,1.0,yes,bad
14,no checking,36.0,existing paid,used car,4686.0,<100,1<=X<4,2.0,none,no known property,32.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
15,>=200,15.0,existing paid,business,2687.0,<100,4<=X<7,2.0,none,life insurance,26.0,none,rent,1.0,skilled,1.0,yes,good
16,0<=X<200,12.0,delayed previously,radio/tv,585.0,<100,1<=X<4,4.0,co applicant,real estate,20.0,none,rent,2.0,skilled,1.0,yes,good
17,no checking,24.0,existing paid,new car,2255.0,no known savings,<1,4.0,none,life insurance,54.0,none,own,1.0,skilled,1.0,yes,good
18,<0,6.0,critical/other existing credit,new car,609.0,<100,4<=X<7,4.0,none,life insurance,37.0,none,own,2.0,skilled,1.0,no,good
19,<0,6.0,critical/other existing credit,new car,1361.0,<100,<1,2.0,none,real estate,40.0,none,own,1.0,unskilled resident,2.0,no,good
20,no checking,36.0,critical/other existing credit,furniture/equipment,7127.0,<100,<1,2.0,none,life insurance,23.0,none,rent,2.0,skilled,1.0,yes,bad
21,<0,-1,existing paid,new car,1203.0,100<=X<500,>=7,3.0,none,life insurance,43.0,none,own,1.0,skilled,1.0,yes,good
22,no checking,-1,critical/other existing credit,radio/tv,700.0,no known savings,>=7,4.0,none,no known property,36.0,none,for free,2.0,skilled,1.0,yes,good
23,no checking,-1,critical/other existing credit,repairs,5507.0,<100,>=7,3.0,none,no known property,44.0,none,for free,2.0,skilled,1.0,yes,good
24,<0,18.0,existing paid,radio/tv,3190.0,<100,1<=X<4,2.0,none,real estate,24.0,none,own,1.0,skilled,1.0,yes,bad
25,<0,48.0,no credits/all paid,furniture/equipment,7119.0,<100,1<=X<4,3.0,none,no known property,53.0,none,for free,2.0,skilled,2.0,yes,bad
26,no checking,24.0,existing paid,used car,3488.0,100<=X<500,4<=X<7,3.0,none,car,23.0,none,own,1.0,skilled,1.0,yes,good
27,0<=X<200,18.0,existing paid,radio/tv,1113.0,<100,1<=X<4,4.0,guarantor,real estate,26.0,none,own,1.0,unskilled resident,2.0,yes,good
28,0<=X<200,26.0,existing paid,used car,7966.0,<100,<1,2.0,none,car,30.0,none,own,2.0,skilled,1.0,yes,good
29,no checking,15.0,critical/other existing credit,education,1532.0,100<=X<500,1<=X<4,4.0,none,car,31.0,none,own,1.0,skilled,1.0,yes,good
30,no checking,4.0,critical/other existing credit,radio/tv,1503.0,<100,4<=X<7,2.0,none,real estate,42.0,none,own,2.0,unskilled resident,2.0,yes,good
31,<0,36.0,existing paid,radio/tv,2302.0,<100,1<=X<4,4.0,none,car,31.0,none,rent,1.0,skilled,1.0,yes,bad
32,<0,6.0,existing paid,new car,662.0,<100,<1,3.0,none,real estate,41.0,none,own,1.0,unskilled resident,2.0,yes,good
33,0<=X<200,36.0,existing paid,education,2273.0,<100,4<=X<7,3.0,none,car,32.0,none,own,2.0,skilled,2.0,yes,good
34,0<=X<200,15.0,existing paid,new car,2631.0,100<=X<500,1<=X<4,2.0,none,car,28.0,none,rent,2.0,skilled,1.0,yes,bad
35,no checking,12.0,delayed previously,used car,1503.0,<100,1<=X<4,4.0,none,real estate,41.0,none,rent,1.0,skilled,1.0,yes,good
36,no checking,24.0,existing paid,radio/tv,1311.0,100<=X<500,4<=X<7,4.0,none,life insurance,26.0,none,own,1.0,skilled,1.0,yes,good
37,no checking,24.0,existing paid,radio/tv,3105.0,no known savings,<1,4.0,none,car,25.0,none,own,2.0,skilled,1.0,yes,good
38,>=200,21.0,critical/other existing credit,education,2319.0,<100,<1,2.0,none,car,33.0,none,rent,1.0,skilled,1.0,yes,bad
39,<0,6.0,existing paid,new car,1374.0,no known savings,unemployed,4.0,none,life insurance,75.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
40,0<=X<200,18.0,critical/other existing credit,furniture/equipment,3612.0,<100,>=7,3.0,none,life insurance,37.0,none,own,1.0,skilled,1.0,yes,good
41,<0,48.0,existing paid,new car,7763.0,<100,>=7,4.0,none,no known property,42.0,bank,for free,1.0,high qualif/self emp/mgmt,1.0,yes,bad
42,>=200,18.0,existing paid,furniture/equipment,3049.0,<100,<1,1.0,none,life insurance,45.0,stores,own,1.0,unskilled resident,1.0,yes,good
43,0<=X<200,12.0,existing paid,radio/tv,1534.0,<100,<1,1.0,none,real estate,23.0,none,rent,1.0,skilled,1.0,yes,bad
44,no checking,24.0,delayed previously,new car,2032.0,<100,>=7,4.0,none,no known property,60.0,none,for free,2.0,skilled,1.0,yes,good
45,<0,30.0,existing paid,furniture/equipment,6350.0,no known savings,>=7,4.0,none,life insurance,31.0,none,own,1.0,skilled,1.0,yes,bad
46,>=200,18.0,existing paid,furniture/equipment,2864.0,<100,1<=X<4,2.0,none,real estate,34.0,none,own,1.0,unskilled resident,2.0,yes,bad
47,no checking,12.0,critical/other existing credit,new car,1255.0,<100,>=7,4.0,none,real estate,61.0,none,own,2.0,unskilled resident,1.0,yes,good
48,<0,24.0,delayed previously,new car,1333.0,<100,unemployed,4.0,none,real estate,43.0,none,for free,2.0,skilled,2.0,yes,bad
49,no checking,24.0,critical/other existing credit,new car,2022.0,<100,1<=X<4,4.0,none,car,37.0,none,own,1.0,skilled,1.0,yes,good
50,no checking,24.0,existing paid,radio/tv,1552.0,<100,4<=X<7,3.0,none,car,32.0,bank,own,1.0,skilled,2.0,yes,good
51,<0,12.0,all paid,radio/tv,626.0,<100,1<=X<4,4.0,none,real estate,24.0,bank,own,1.0,unskilled resident,1.0,yes,bad
52,no checking,48.0,critical/other existing credit,used car,8858.0,no known savings,4<=X<7,2.0,none,no known property,35.0,none,for free,2.0,skilled,1.0,yes,good
53,no checking,12.0,critical/other existing credit,repairs,996.0,no known savings,4<=X<7,4.0,none,real estate,23.0,none,own,2.0,skilled,1.0,yes,good
54,no checking,6.0,all paid,radio/tv,1750.0,500<=X<1000,>=7,2.0,none,life insurance,45.0,bank,own,1.0,unskilled resident,2.0,yes,good
55,<0,48.0,existing paid,radio/tv,6999.0,<100,4<=X<7,1.0,guarantor,real estate,34.0,none,own,2.0,skilled,1.0,yes,bad
56,0<=X<200,12.0,critical/other existing credit,new car,1995.0,100<=X<500,<1,4.0,none,car,27.0,none,own,1.0,skilled,1.0,yes,good
57,0<=X<200,9.0,existing paid,education,1199.0,<100,4<=X<7,4.0,none,life insurance,67.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
58,0<=X<200,12.0,existing paid,radio/tv,1331.0,<100,<1,2.0,none,car,22.0,stores,own,1.0,skilled,1.0,yes,bad
59,0<=X<200,18.0,no credits/all paid,new car,2278.0,100<=X<500,<1,3.0,none,car,28.0,none,own,2.0,skilled,1.0,yes,bad
60,no checking,21.0,no credits/all paid,new car,5003.0,no known savings,1<=X<4,1.0,none,life insurance,29.0,bank,own,2.0,skilled,1.0,yes,bad
61,<0,24.0,all paid,furniture/equipment,3552.0,<100,4<=X<7,3.0,none,car,27.0,bank,own,1.0,skilled,1.0,yes,bad
62,0<=X<200,18.0,critical/other existing credit,furniture/equipment,1928.0,<100,<1,2.0,none,real estate,31.0,none,own,2.0,unskilled resident,1.0,yes,bad
63,<0,24.0,existing paid,used car,2964.0,no known savings,>=7,4.0,none,no known property,49.0,bank,for free,1.0,skilled,2.0,yes,good
64,<0,24.0,all paid,radio/tv,1546.0,<100,4<=X<7,4.0,guarantor,car,24.0,bank,rent,1.0,unskilled resident,1.0,yes,bad
65,>=200,6.0,delayed previously,radio/tv,683.0,<100,<1,2.0,none,life insurance,29.0,bank,own,1.0,skilled,1.0,yes,good
66,0<=X<200,36.0,existing paid,new car,12389.0,no known savings,1<=X<4,1.0,none,no known property,37.0,none,for free,1.0,skilled,1.0,yes,bad
67,0<=X<200,24.0,delayed previously,business,4712.0,no known savings,1<=X<4,4.0,none,life insurance,37.0,bank,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
68,0<=X<200,24.0,delayed previously,radio/tv,1553.0,100<=X<500,4<=X<7,3.0,none,life insurance,23.0,none,rent,2.0,skilled,1.0,yes,good
69,<0,12.0,existing paid,new car,1372.0,<100,4<=X<7,2.0,none,car,36.0,none,own,1.0,skilled,1.0,yes,bad
70,no checking,24.0,critical/other existing credit,radio/tv,2578.0,>=1000,>=7,2.0,none,car,34.0,none,own,1.0,skilled,1.0,yes,good
71,0<=X<200,48.0,existing paid,radio/tv,3979.0,no known savings,4<=X<7,4.0,none,car,41.0,none,own,2.0,skilled,2.0,yes,good
72,<0,48.0,existing paid,radio/tv,6758.0,<100,1<=X<4,3.0,none,car,31.0,none,own,1.0,skilled,1.0,yes,bad
73,<0,24.0,existing paid,furniture/equipment,3234.0,<100,<1,4.0,none,real estate,23.0,none,rent,1.0,unskilled resident,1.0,yes,bad
74,no checking,30.0,critical/other existing credit,radio/tv,5954.0,<100,4<=X<7,3.0,co applicant,car,38.0,none,own,1.0,skilled,1.0,yes,good
75,no checking,24.0,existing paid,used car,5433.0,no known savings,unemployed,2.0,none,life insurance,26.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,good
76,<0,15.0,existing paid,business,806.0,<100,1<=X<4,4.0,none,life insurance,22.0,none,own,1.0,unskilled resident,1.0,yes,good
77,0<=X<200,9.0,existing paid,radio/tv,1082.0,<100,>=7,4.0,none,car,27.0,none,own,2.0,unskilled resident,1.0,yes,good
78,no checking,15.0,critical/other existing credit,furniture/equipment,2788.0,<100,4<=X<7,2.0,co applicant,car,24.0,bank,own,2.0,skilled,1.0,yes,good
79,0<=X<200,12.0,existing paid,radio/tv,2930.0,<100,4<=X<7,2.0,none,real estate,27.0,none,own,1.0,skilled,1.0,yes,good
80,no checking,24.0,critical/other existing credit,education,1927.0,no known savings,1<=X<4,3.0,none,car,33.0,none,own,2.0,skilled,1.0,yes,good
81,0<=X<200,36.0,critical/other existing credit,new car,2820.0,<100,<1,4.0,none,car,27.0,none,own,2.0,skilled,1.0,yes,bad
82,no checking,24.0,existing paid,retraining,937.0,<100,<1,4.0,none,car,27.0,none,own,2.0,unskilled resident,1.0,yes,good
83,0<=X<200,18.0,critical/other existing credit,new car,1056.0,<100,>=7,3.0,guarantor,real estate,30.0,bank,own,2.0,skilled,1.0,yes,bad
84,0<=X<200,12.0,critical/other existing credit,new car,3124.0,<100,<1,1.0,none,real estate,49.0,bank,own,2.0,unskilled resident,2.0,yes,good
85,no checking,9.0,existing paid,furniture/equipment,1388.0,<100,1<=X<4,4.0,none,real estate,26.0,none,rent,1.0,skilled,1.0,yes,good
86,0<=X<200,36.0,existing paid,repairs,2384.0,<100,<1,4.0,none,no known property,33.0,none,rent,1.0,unskilled resident,1.0,yes,bad
87,no checking,12.0,existing paid,new car,2133.0,no known savings,>=7,4.0,none,no known property,52.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
88,<0,18.0,existing paid,furniture/equipment,2039.0,<100,1<=X<4,1.0,none,real estate,20.0,bank,rent,1.0,skilled,1.0,yes,bad
89,<0,9.0,critical/other existing credit,new car,2799.0,<100,1<=X<4,2.0,none,real estate,36.0,none,rent,2.0,skilled,2.0,yes,good
90,<0,12.0,existing paid,furniture/equipment,1289.0,<100,1<=X<4,4.0,guarantor,life insurance,21.0,none,own,1.0,unskilled resident,1.0,yes,good
91,<0,-1,existing paid,domestic appliance,1217.0,<100,1<=X<4,4.0,none,real estate,47.0,none,own,1.0,unskilled resident,1.0,yes,bad
92,<0,-1,critical/other existing credit,furniture/equipment,2246.0,<100,>=7,3.0,none,life insurance,60.0,none,own,2.0,skilled,1.0,yes,bad
93,<0,12.0,critical/other existing credit,radio/tv,385.0,<100,4<=X<7,4.0,none,real estate,58.0,none,own,4.0,unskilled resident,1.0,yes,good
94,0<=X<200,24.0,delayed previously,new car,1965.0,no known savings,1<=X<4,4.0,none,car,42.0,none,rent,2.0,skilled,1.0,yes,good
95,no checking,21.0,existing paid,business,1572.0,>=1000,>=7,4.0,none,real estate,36.0,bank,own,1.0,unskilled resident,1.0,yes,good
96,0<=X<200,24.0,existing paid,new car,2718.0,<100,1<=X<4,3.0,none,life insurance,20.0,none,rent,1.0,unskilled resident,1.0,yes,bad
97,<0,24.0,all paid,other,1358.0,no known savings,>=7,4.0,none,car,40.0,stores,own,1.0,high qualif/self emp/mgmt,1.0,yes,bad
98,0<=X<200,6.0,all paid,new car,931.0,100<=X<500,<1,1.0,none,life insurance,32.0,stores,own,1.0,unskilled resident,1.0,yes,bad
99,<0,24.0,existing paid,new car,1442.0,<100,4<=X<7,4.0,none,car,23.0,none,rent,2.0,skilled,1.0,yes,bad
100,0<=X<200,24.0,no credits/all paid,business,4241.0,<100,1<=X<4,1.0,none,real estate,36.0,none,own,3.0,unskilled resident,1.0,yes,bad
101,no checking,18.0,critical/other existing credit,new car,2775.0,<100,4<=X<7,2.0,none,life insurance,31.0,bank,own,2.0,skilled,1.0,yes,bad
102,no checking,-1,delayed previously,business,3863.0,<100,1<=X<4,1.0,none,no known property,32.0,none,for free,1.0,skilled,1.0,yes,good
103,0<=X<200,-1,existing paid,radio/tv,2329.0,<100,<1,1.0,guarantor,real estate,45.0,none,own,1.0,skilled,1.0,yes,good
104,0<=X<200,-1,existing paid,furniture/equipment,918.0,<100,1<=X<4,4.0,none,life insurance,30.0,none,own,1.0,skilled,1.0,yes,bad
105,0<=X<200,24.0,all paid,education,1837.0,<100,4<=X<7,4.0,none,no known property,34.0,bank,for free,1.0,unskilled resident,1.0,yes,bad
106,no checking,36.0,existing paid,furniture/equipment,3349.0,<100,1<=X<4,4.0,none,car,28.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,bad
107,>=200,10.0,existing paid,furniture/equipment,1275.0,<100,<1,4.0,none,life insurance,23.0,none,own,1.0,skilled,1.0,yes,good
108,<0,24.0,all paid,furniture/equipment,2828.0,500<=X<1000,1<=X<4,4.0,none,real estate,22.0,stores,own,1.0,skilled,1.0,yes,good
109,no checking,24.0,critical/other existing credit,business,4526.0,<100,1<=X<4,3.0,none,real estate,74.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
110,0<=X<200,36.0,existing paid,radio/tv,2671.0,100<=X<500,1<=X<4,4.0,co applicant,no known property,50.0,none,for free,1.0,skilled,1.0,yes,bad
111,no checking,18.0,existing paid,radio/tv,2051.0,<100,<1,4.0,none,real estate,33.0,none,own,1.0,skilled,1.0,yes,good
112,no checking,15.0,existing paid,used car,1300.0,no known savings,>=7,4.0,none,no known property,45.0,bank,for free,1.0,skilled,2.0,yes,good
113,<0,12.0,existing paid,domestic appliance,741.0,100<=X<500,unemployed,4.0,none,life insurance,22.0,none,own,1.0,skilled,1.0,yes,bad
114,>=200,10.0,existing paid,new car,1240.0,100<=X<500,>=7,1.0,none,no known property,48.0,none,for free,1.0,unskilled resident,2.0,yes,bad
115,<0,21.0,existing paid,radio/tv,3357.0,>=1000,<1,4.0,none,car,29.0,bank,own,1.0,skilled,1.0,yes,good
116,<0,24.0,all paid,used car,3632.0,<100,1<=X<4,1.0,guarantor,car,22.0,bank,rent,1.0,skilled,1.0,no,good
117,no checking,18.0,delayed previously,furniture/equipment,1808.0,<100,4<=X<7,4.0,none,real estate,22.0,none,own,1.0,skilled,1.0,yes,bad
118,0<=X<200,48.0,no credits/all paid,business,12204.0,no known savings,1<=X<4,2.0,none,car,48.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
119,0<=X<200,60.0,delayed previously,radio/tv,9157.0,no known savings,1<=X<4,2.0,none,no known property,27.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
120,<0,6.0,critical/other existing credit,new car,3676.0,<100,1<=X<4,1.0,none,real estate,37.0,none,rent,3.0,skilled,2.0,yes,good
121,0<=X<200,30.0,existing paid,furniture/equipment,3441.0,100<=X<500,1<=X<4,2.0,co applicant,car,21.0,none,rent,1.0,skilled,1.0,yes,bad
122,no checking,12.0,existing paid,new car,640.0,<100,1<=X<4,4.0,none,real estate,49.0,none,own,1.0,unskilled resident,1.0,yes,good
123,0<=X<200,21.0,critical/other existing credit,business,3652.0,<100,4<=X<7,2.0,none,life insurance,27.0,none,own,2.0,skilled,1.0,yes,good
124,no checking,18.0,critical/other existing credit,new car,1530.0,<100,1<=X<4,3.0,none,life insurance,32.0,bank,own,2.0,skilled,1.0,yes,bad
125,no checking,48.0,existing paid,business,3914.0,no known savings,1<=X<4,4.0,none,real estate,38.0,bank,own,1.0,skilled,1.0,yes,bad
126,<0,12.0,existing paid,furniture/equipment,1858.0,<100,<1,4.0,none,car,22.0,none,rent,1.0,skilled,1.0,yes,good
127,<0,18.0,existing paid,radio/tv,2600.0,<100,1<=X<4,4.0,none,no known property,65.0,none,for free,2.0,skilled,1.0,yes,bad
128,no checking,15.0,existing paid,radio/tv,1979.0,no known savings,>=7,4.0,none,car,35.0,none,own,1.0,skilled,1.0,yes,good
129,>=200,6.0,existing paid,furniture/equipment,2116.0,<100,1<=X<4,2.0,none,real estate,41.0,none,own,1.0,skilled,1.0,yes,good
130,0<=X<200,9.0,all paid,new car,1437.0,100<=X<500,4<=X<7,2.0,none,no known property,29.0,none,own,1.0,skilled,1.0,yes,bad
131,no checking,42.0,critical/other existing credit,furniture/equipment,4042.0,500<=X<1000,1<=X<4,4.0,none,real estate,36.0,none,own,2.0,skilled,1.0,yes,good
132,no checking,9.0,existing paid,education,3832.0,no known savings,>=7,1.0,none,real estate,64.0,none,own,1.0,unskilled resident,1.0,yes,good
133,<0,24.0,existing paid,radio/tv,3660.0,<100,1<=X<4,2.0,none,car,28.0,none,own,1.0,skilled,1.0,yes,good
134,<0,18.0,all paid,furniture/equipment,1553.0,<100,1<=X<4,4.0,none,car,44.0,bank,own,1.0,skilled,1.0,yes,bad
135,0<=X<200,15.0,existing paid,radio/tv,1444.0,no known savings,<1,4.0,none,life insurance,23.0,none,own,1.0,skilled,1.0,yes,good
136,no checking,9.0,existing paid,furniture/equipment,1980.0,<100,<1,2.0,co applicant,car,19.0,none,rent,2.0,skilled,1.0,yes,bad
137,0<=X<200,24.0,existing paid,new car,1355.0,<100,<1,3.0,none,car,25.0,none,own,1.0,unskilled resident,1.0,yes,bad
138,no checking,12.0,existing paid,education,1393.0,<100,>=7,4.0,none,life insurance,47.0,bank,own,3.0,skilled,2.0,yes,good
139,no checking,24.0,existing paid,radio/tv,1376.0,500<=X<1000,4<=X<7,4.0,none,car,28.0,none,own,1.0,skilled,1.0,yes,good
140,no checking,60.0,delayed previously,radio/tv,15653.0,<100,4<=X<7,2.0,none,car,21.0,none,own,2.0,skilled,1.0,yes,good
141,no checking,12.0,existing paid,radio/tv,1493.0,<100,<1,4.0,none,car,34.0,none,own,1.0,skilled,2.0,yes,good
142,<0,42.0,delayed previously,radio/tv,4370.0,<100,4<=X<7,3.0,none,life insurance,26.0,bank,own,2.0,skilled,2.0,yes,bad
143,<0,18.0,existing paid,education,750.0,<100,unemployed,4.0,none,real estate,27.0,none,own,1.0,unemp/unskilled non res,1.0,yes,bad
144,0<=X<200,15.0,existing paid,repairs,1308.0,<100,>=7,4.0,none,car,38.0,none,own,2.0,unskilled resident,1.0,yes,good
145,no checking,15.0,existing paid,education,4623.0,100<=X<500,1<=X<4,3.0,none,life insurance,40.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,bad
146,no checking,24.0,critical/other existing credit,radio/tv,1851.0,<100,4<=X<7,4.0,guarantor,car,33.0,none,own,2.0,skilled,1.0,yes,good
147,<0,18.0,critical/other existing credit,radio/tv,1880.0,<100,4<=X<7,4.0,none,life insurance,32.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
148,no checking,36.0,delayed previously,business,7980.0,no known savings,<1,4.0,none,car,27.0,none,rent,2.0,skilled,1.0,yes,bad
149,<0,30.0,no credits/all paid,furniture/equipment,4583.0,<100,1<=X<4,2.0,guarantor,real estate,32.0,none,own,2.0,skilled,1.0,yes,good
150,no checking,12.0,existing paid,new car,1386.0,500<=X<1000,1<=X<4,2.0,none,life insurance,26.0,none,own,1.0,skilled,1.0,yes,bad
151,>=200,24.0,existing paid,new car,947.0,<100,4<=X<7,4.0,none,no known property,38.0,bank,for free,1.0,skilled,2.0,yes,bad
152,<0,12.0,existing paid,education,684.0,<100,1<=X<4,4.0,none,car,40.0,none,rent,1.0,unskilled resident,2.0,yes,bad
153,<0,-1,existing paid,education,7476.0,<100,4<=X<7,4.0,none,no known property,50.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
154,0<=X<200,-1,existing paid,furniture/equipment,1922.0,<100,1<=X<4,4.0,none,life insurance,37.0,none,own,1.0,unskilled resident,1.0,yes,bad
155,<0,24.0,existing paid,new car,2303.0,<100,>=7,4.0,co applicant,real estate,45.0,none,own,1.0,skilled,1.0,yes,bad
156,0<=X<200,36.0,delayed previously,new car,8086.0,100<=X<500,>=7,2.0,none,car,42.0,none,own,4.0,high qualif/self emp/mgmt,1.0,yes,bad
157,no checking,24.0,critical/other existing credit,used car,2346.0,<100,4<=X<7,4.0,none,car,35.0,none,own,2.0,skilled,1.0,yes,good
158,<0,14.0,existing paid,new car,3973.0,<100,unemployed,1.0,none,no known property,22.0,none,for free,1.0,skilled,1.0,yes,good
159,0<=X<200,12.0,existing paid,new car,888.0,<100,>=7,4.0,none,car,41.0,bank,own,1.0,unskilled resident,2.0,yes,bad
160,no checking,48.0,existing paid,radio/tv,10222.0,no known savings,4<=X<7,4.0,none,car,37.0,stores,own,1.0,skilled,1.0,yes,good
161,0<=X<200,30.0,no credits/all paid,business,4221.0,<100,1<=X<4,2.0,none,car,28.0,none,own,2.0,skilled,1.0,yes,good
162,0<=X<200,18.0,critical/other existing credit,furniture/equipment,6361.0,<100,>=7,2.0,none,no known property,41.0,none,own,1.0,skilled,1.0,yes,good
163,>=200,12.0,existing paid,radio/tv,1297.0,<100,1<=X<4,3.0,none,real estate,23.0,none,rent,1.0,skilled,1.0,yes,good
164,<0,12.0,existing paid,new car,900.0,no known savings,1<=X<4,4.0,none,car,23.0,none,own,1.0,skilled,1.0,yes,bad
165,no checking,21.0,existing paid,furniture/equipment,2241.0,<100,>=7,4.0,none,real estate,50.0,none,own,2.0,skilled,1.0,yes,good
166,0<=X<200,6.0,delayed previously,furniture/equipment,1050.0,<100,unemployed,4.0,none,life insurance,35.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
167,>=200,6.0,critical/other existing credit,education,1047.0,<100,1<=X<4,2.0,none,life insurance,50.0,none,own,1.0,unskilled resident,1.0,yes,good
168,no checking,24.0,critical/other existing credit,other,6314.0,<100,unemployed,4.0,co applicant,no known property,27.0,bank,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
